"Item","Price","Serving Size","Calories","Cal from Fat","Total fat","sat fat","trans fat","cholesteral","sodium","carb","fiber","sugar","portien"
"","","(oz)","","(g)","(g)","(g)","(g)","(mg)","(mg)","(g)","(g)","(g)","(g)"
"Sierra Mist® (Sm.)","","22 oz","240","0","0","0","0","0","50","65","0","65","0"
"Sierra Mist® (Med.)","","30 oz","330","0","0","0","0","0","65","89","0","89","0"
"Sierra Mist® (Lrg.)","","42 oz","460","0","0","0","0","0","90","124","0","124","0"
"Lipton No Calorie Brisk Peach®  (Sm.)","","22 oz","0","0","0","0","0","0","170","0","0","0","0"
"","","","","","","","","","","","","",""
"Lipton No Calorie Brisk Peach®  (Med.)","","30 oz","0","0","0","0","0","0","230","0","0","0","0"
"Lipton No Calorie Brisk Peach® (Lrg.)","","42 oz","0","0","0","0","0","0","320","0","0","0","0"
"Lipton Brisk Raspberry® (Sm.)","","22 oz","190","0","0","0","0","0","60","51","0","51","0"
"Lipton Brisk Raspberry® (Med.)","","30 oz","260","0","0","0","0","0","80","69","0","69","0"
"Lipton Brisk Raspberry® (Lrg.)","","42 oz","370","0","0","0","0","0","115","96","0","96","0"
"Sobe Lean® (Sm.)","","22 oz","0","0","0","0","0","0","60","0","0","0","0"
"Sobe Lean® (Med.)","","30 oz","0","0","0","0","0","0","80","0","0","0","0"
"Sobe Lean® (Lrg.)","","42 oz","0","0","0","0","0","0","115","0","0","0","0"
"Tropicana Fruit Punch® (Sm.)","","22 oz","260","0","0","0","0","0","60","72","0","72","0"
"Tropicana Fruit Punch® (Med.)","","30 oz","360","0","0","0","0","0","80","98","0","98","0"
"Tropicana Fruit Punch® (Lrg.)","","42 oz","510","0","0","0","0","0","115","138","0","138","0"
"Tropicana Lemonade® (Sm.)","","22 oz","240","0","0","0","0","0","255","65","0","65","0"
"Tropicana Lemonade® (Med.)","","30 oz","330","0","0","0","0","0","345","89","0","89","0"
"Tropicana Lemonade® (Lrg.)","","42 oz","460","0","0","0","0","0","480","124","0","124","0"
"Tropicana Pink Lemonade® (Sm.)","","22 oz","240","0","0","0","0","0","255","65","0","65","0"
"Tropicana Pink Lemonade® (Med.)","","30 oz","330","0","0","0","0","0","345","89","0","89","0"
"Tropicana Pink Lemonade® (Lrg.)","","42 oz","460","0","0","0","0","0","480","124","0","124","0"
"China Mist Iced Tea® (Sm.)","","22 oz","0","0","0","0","0","0","0","0","0","0","0"
"China Mist Iced Tea® (Med.)","","30 oz","0","0","0","0","0","0","0","0","0","0","0"
"China Mist Iced Tea® (Lrg.)","","42 oz","0","0","0","0","0","0","0","0","0","0","0"
"Kids Meal","","","","","","","","","","","","",""
"SIDE","","","","","","","","","","","","",""
"Chow Mein","","5.2 oz","280","110","12","2","0","0","540","36","2","5","7"
"Chow Fun*","","6.2 oz","300","60","6","0.5","0","0","810","53","1","4","6"
"Fried Rice","","6.2 oz","350","90","10","2","0","80","570","57","0","2","7"
"Brown Steamed Rice","","7.8 oz","310","25","3","0.5","0","0","10","64","3","1","7"
"White Steamed Rice","","5.1 oz","240","0","0","0","0","0","0","54","0","0","5"
"Mixed Vegetables (Side)","","6.4 oz","60","0","0","0","0","0","400","12","4","4","3"
"VEGETABLES","","","","","","","","","","","","",""
"Country Style Bean Curd*","","4.1 oz","122","70","8","1","0","0","600","9","1","5","4"
"Eggplant Tofu*","","4.6 oz","250","160","18","2.5","0","0","390","17","2","13","5"
"Hot Szechuan Tofu*","","4.1 oz","100","50","6","0.5","0","0","430","7","1","4","4"
"Mixed Veggies (Entree)","","3.2 oz","30","0","0","0","0","0","200","6","2","2","2"
"CHICKEN","","","","","","","","","","","","",""
"Black Pepper Chicken","","4.6 oz","200","120","14","2.5","0","40","830","11","<1","5","10"
"Kung Pao Chicken","","4.4 oz","200","120","14","2.5","0","40","690","10","2","4","11"
"Grilled Teriyaki Chicken","","3.6 oz","180","70","8","2.5","0","110","320","5","0","5","22"
"Grilled Asian Chicken","","3.6 oz","180","70","8","2.5","0","110","320","5","0","5","22"
"Teriyaki Chicken","","3.6 oz","200","70","8","2","0","115","380","8","2","6","25"
"","","","","","","","","","","","","",""
"Asian Chicken","","3.6 oz","200","70","8","2","0","115","380","8","2","6","25"
"Mushroom Chicken","","4.4 oz","130","60","7","1.5","0","32","580","8","1","3","9"
"Orange Chicken","","4.1 oz","260","120","13","2.5","0","60","450","32","0","14","10"
"Potato Chicken*","","3.9 oz","140","70","8","1.5","0","20","510","15","0","3","6"
"CHICKEN BREAST","","","","","","","","","","","","",""
"String Bean Chicken Breast","","4.2 oz","140","60","7","1.5","0","26","440","10","3","3","11"
"SweetFire Chicken BreastTM","","4.4 oz","280","100","12","2","0","25","240","35","1","20","10"
"Sweet & Sour Chicken Breast*","","4.1 oz","270","90","10","2","0","20","220","35","1","21","9"
"BEEF","","","","","","","","","","","","",""
"Beijing BeefTM","","4.2 oz","350","180","20","4","0","20","490","34","1","18","10"
"Broccoli Beef","","5.1 oz","110","50","6","1","0","10","400","10","2","5","7"
"Shanghai Angus Steak (Asparagus)","","4.1 oz","240","130","14","3","0","40","630","12","<1","8","17"
"PORK","","","","","","","","","","","","",""
"Peking Pork*","","4.2 oz","300","134","15","3","0","30","720","26","1","14","15"
"Shanghai Angus Steak (String Beans)","","5.4 oz","240","130","14","3","0","40","630","13","1","8","16"
"SEAFOOD","","","","","","","","","","","","",""
"Crispy Shrimp","","2.3 oz / 4 pcs","170","80","8","1.5","0","40","520","17","1","1","6"
"Honey Walnut Shrimp","","2 oz","200","110","13","2","0","55","240","14","1","5","7"
"","","","","","","","","","","","","",""
"Golden Treasure Shrimp*","","2.75 oz","210","90","10","1.5","0","60","250","20","1","8","8"
"Steamed Ginger Fish*","","2 oz","70","35","4","1","0","15","660","3","0","2","5"
"BEVERAGES**","","","","","","","","","","","","",""
"Pepsi® (Kids)","","12 oz","130","0","0","0","0","0","35","37","0","35","0"
"Diet Pepsi® (Kids)","","12 oz","0","0","0","0","0","0","35","0","0","0","0"
"Mountain Dew® (Kids)","","12 oz","140","0","0","0","0","0","45","38","0","38","0"
"Dr Pepper® (Kids)","","12 oz","110","0","0","0","0","0","39","30","0","30","0"
"Mug Root Beer® (Kids)","","12 oz","130","0","0","0","0","0","20","34","0","34","0"
"Sierra Mist® (Kids)","","12 oz","130","0","0","0","0","0","25","35","0","35","0"
"Lipton No Calorie Brisk","","12 oz","0","0","0","0","0","0","90","0","0","0","0"
"Peach®  (Kids)","","","","","","","","","","","","",""
"Lipton Brisk Raspberry®","","12 oz","110","0","0","0","0","0","35","28","0","28","0"
"(Kids)","","","","","","","","","","","","",""
"Sobe Lean® (Kids)","","12 oz","0","0","0","0","0","0","35","0","0","0","0"
"Tropicana Fruit Punch®","","","","","","","","","","","","",""
"(Kids)","","12 oz","140","0","0","0","0","0","35","39","0","39","0"
"Tropicana Lemonade® (Kids)","","12 oz","130","0","0","0","0","0","140","35","0","35","0"
"Tropicana Pink Lemonade®","","","","","","","","","","","","",""
"(Kids)","","12 oz","130","0","0","0","0","0","140","35","0","35","0"
"China Mist Iced Tea® (Kids)","","12 oz","0","0","0","0","0","0","0","0","0","0","0"
